site,datetime,variable,values
Archery,2019-10-06T03:30:00Z,depth_ft,3.1207075716484294
Archery,2019-10-06T03:30:00Z,dissolved_oxygen_pct,68.82029145326729
Archery,2019-10-06T03:30:00Z,do_mg,7.342225833826484
Archery,2019-10-06T03:30:00Z,orp,175.65623271518317
Archery,2019-10-06T03:30:00Z,ph,8.142785776240421
Archery,2019-10-06T03:30:00Z,turbidity,5.213837795807614
Archery,2019-10-06T03:45:00Z,depth_ft,3.1140227505151796
Archery,2019-10-06T03:45:00Z,dissolved_oxygen_pct,68.71502049770606
Archery,2019-10-06T03:45:00Z,do_mg,7.340935627040133
Archery,2019-10-06T03:45:00Z,orp,174.64766784298376
Archery,2019-10-06T03:45:00Z,ph,8.130570803208354
Archery,2019-10-06T03:45:00Z,turbidity,4.995635462505204
Archery,2019-10-06T04:00:00Z,depth_ft,3.107024527175908
Archery,2019-10-06T04:00:00Z,dissolved_oxygen_pct,68.62496354380657
Archery,2019-10-06T04:00:00Z,do_mg,7.342582496859611
Archery,2019-10-06T04:00:00Z,orp,173.59298900773538
Archery,2019-10-06T04:00:00Z,ph,8.119526426994614
Archery,2019-10-06T04:00:00Z,turbidity,4.4851254107540885
Archery,2019-10-06T04:15:00Z,depth_ft,3.099415658196051
Archery,2019-10-06T04:15:00Z,dissolved_oxygen_pct,68.52855406655081
Archery,2019-10-06T04:15:00Z,do_mg,7.342801776020879
Archery,2019-10-06T04:15:00Z,orp,174.02168777753573
Archery,2019-10-06T04:15:00Z,ph,8.10816738611085
Archery,2019-10-06T04:15:00Z,turbidity,3.982559972660974
Archery,2019-10-06T04:30:00Z,depth_ft,3.0911481731521757
Archery,2019-10-06T04:30:00Z,dissolved_oxygen_pct,68.43236588951524
Archery,2019-10-06T04:30:00Z,do_mg,7.341738874811088
Archery,2019-10-06T04:30:00Z,orp,176.0462712240669
Archery,2019-10-06T04:30:00Z,ph,8.095517867613355
Archery,2019-10-06T04:30:00Z,turbidity,3.715635132199629
Archery,2019-10-06T04:45:00Z,depth_ft,3.08263594133855
Archery,2019-10-06T04:45:00Z,dissolved_oxygen_pct,68.35610928961883
Archery,2019-10-06T04:45:00Z,do_mg,7.343082106180833
Archery,2019-10-06T04:45:00Z,orp,178.43783823356912
Archery,2019-10-06T04:45:00Z,ph,8.081566622872035
Archery,2019-10-06T04:45:00Z,turbidity,3.658438438980848
Archery,2019-10-06T05:00:00Z,depth_ft,3.0736515524019805
Archery,2019-10-06T05:00:00Z,dissolved_oxygen_pct,68.25576385884483
Archery,2019-10-06T05:00:00Z,do_mg,7.342812677319342
Archery,2019-10-06T05:00:00Z,orp,180.2458668833989
Archery,2019-10-06T05:00:00Z,ph,8.0665151960705
Archery,2019-10-06T05:00:00Z,turbidity,3.641258713301971
Archery,2019-10-06T05:15:00Z,depth_ft,3.064127815526221
Archery,2019-10-06T05:15:00Z,dissolved_oxygen_pct,68.05980539048849
Archery,2019-10-06T05:15:00Z,do_mg,7.332270553711501
Archery,2019-10-06T05:15:00Z,orp,181.46512476493993
Archery,2019-10-06T05:15:00Z,ph,8.050938680445265
Archery,2019-10-06T05:15:00Z,turbidity,3.564869699059056
Archery,2019-10-06T05:30:00Z,depth_ft,3.055086534383533
Archery,2019-10-06T05:30:00Z,dissolved_oxygen_pct,67.8374779337592
Archery,2019-10-06T05:30:00Z,do_mg,7.318513572928316
Archery,2019-10-06T05:30:00Z,orp,182.52200907076877
Archery,2019-10-06T05:30:00Z,ph,8.036407926579017
Archery,2019-10-06T05:30:00Z,turbidity,3.50239862971624
Archery,2019-10-06T05:45:00Z,depth_ft,3.0475590431981576
Archery,2019-10-06T05:45:00Z,dissolved_oxygen_pct,67.75943210378307
Archery,2019-10-06T05:45:00Z,do_mg,7.320538572342667
Archery,2019-10-06T05:45:00Z,orp,183.61761623012785
Archery,2019-10-06T05:45:00Z,ph,8.024155286934823
Archery,2019-10-06T05:45:00Z,turbidity,3.5180468643230887
Archery,2019-10-06T06:00:00Z,depth_ft,3.0422271891952746
Archery,2019-10-06T06:00:00Z,dissolved_oxygen_pct,67.82692852026895
Archery,2019-10-06T06:00:00Z,do_mg,7.339095088484094
Archery,2019-10-06T06:00:00Z,orp,184.67184987620533
Archery,2019-10-06T06:00:00Z,ph,8.01333794007168
Archery,2019-10-06T06:00:00Z,turbidity,3.512682511223452
Archery,2019-10-06T06:15:00Z,depth_ft,3.0399218407175086
Archery,2019-10-06T06:15:00Z,dissolved_oxygen_pct,67.84870263970315
Archery,2019-10-06T06:15:00Z,do_mg,7.353845728752212
Archery,2019-10-06T06:15:00Z,orp,185.6675264846101
Archery,2019-10-06T06:15:00Z,ph,8.00231637122803
Archery,2019-10-06T06:15:00Z,turbidity,3.344108766009425
Archery,2019-10-06T06:30:00Z,depth_ft,3.040989158955472
Archery,2019-10-06T06:30:00Z,dissolved_oxygen_pct,67.72148212378299
Archery,2019-10-06T06:30:00Z,do_mg,7.353445659670731
Archery,2019-10-06T06:30:00Z,orp,186.66184835916064
Archery,2019-10-06T06:30:00Z,ph,7.99077373911203
Archery,2019-10-06T06:30:00Z,turbidity,3.0604043200070925
